assumption_id,parameter_or_claim,class,value_or_rule,justification,source_or_trigger,sensitivity_or_validation_required,status
A01,Primary candidate functional unit,proposed assumption,"One successfully consumed beverage serving meeting predefined residual-liquid and usability criteria","Item count alone does not establish functional equivalence","Project requirement","Test alternative FU definitions and record failures/replacements",open
A02,Straw mass-length scaling,analytical assumption,"For unchanged material, density, diameter, wall thickness, and end features, mass is proportional to length: M≈ρπDtL","Thin-wall approximation supplied by project; suitable only for first-order screening","Project model","Validate against measured masses for each design; do not apply across U/telescopic/straight or paper/plastic designs without geometry",conditional
A03,Illustrative 10% shortening scenario,hypothetical,"Use 10% only to demonstrate accounting, not as a feasible design","No minimum functional length has yet been measured","No source-backed functional minimum","Sweep from 0% to experimentally supported limit; never label 10% feasible",open
A04,Carton geometric volume calculation,calculated assumption,"Treat supplier carton L×W×H as external rectangular volume","Datasheets provide three orthogonal carton dimensions","S04; S05; S06","Model pallet/container integer packing separately; dimensional volume is not actual occupied transport volume",conditional
A05,Huhtamaki unit mass calculation,calculated inference,"Carton net mass / 2,500 straws = 1.10 g per straw","Datasheet gives 10 packs × 250 and 2.75 kg carton net mass","S04","Confirm whether net mass excludes all inner packaging; do not use conflicting 'Package Weight: 3.3 g'",provisional
A06,Huhtamaki packaging overhead,calculated inference,"(3.30−2.75) kg / 2,500 = 0.22 g per straw","Gross and net carton masses are listed","S04","Includes all packaging and possible rounding; validate with weighed carton components",provisional
A07,Franz Mensch logistics overhead,calculated inference,"2,185 g / 1,400 − 1.08 g = 0.481 g per straw","Datasheet lists approximate unit mass and outer-pack mass","S05","Treat as approximate; gross mass may include moisture/rounding and all packaging",provisional
A08,Transport emissions,explicit non-assumption,"Do not scale transport emissions directly with straw mass savings","Mass and volume constraints, integer packing, utilization, route, and packaging can dominate","Project requirement","Model mass-constrained and volume-constrained cases separately",required
A09,Tetra paper/plastic functional equivalence,study assumption,"Tetra Pak assumes identical functionality and equivalent ease of use for its 100 × 5 mm paper and plastic straws","This is stated in the LCA and is not an independent user test","S01","Stress-test replacements, failure, residual liquid, and user acceptance",conditional
A10,External container dimensions,missing parameter,"No external height×width×depth or straw-hole coordinates are assigned to the Tetra Pak 200 mL case","The reviewed Tetra Pak LCA provides surface area but not these dimensions","S01","Obtain a manufacturer keyline/CAD drawing or measure representative packs",open
A11,Minimum functional straw length,missing parameter,"No minimum length is assigned","Requires container geometry, insertion point, liquid-access target, residual-liquid target, and mouth protrusion","S01; S06; S07","Bench and user testing across representative pack formats",open
A12,Paper-straw replacement and failure response,missing parameters,"Do not convert laboratory wet-strength loss into an expected additional replacement rate or independent per-attempt failure probability","Mechanical tests were not user trials and products vary","S03","Estimate attempt-level failure and additional straws per successful serving in timed beverage-use tests by liquid, temperature, duration, and product",open
A13,PFAS causation,explicit non-assumption,"Detection does not establish intentional addition","Raw material contamination, processing, recycled content, or treatment could contribute","S13; S14; S15","Use formulation/supply-chain evidence and total/targeted fluorine methods before causal claims",required
A14,PFAS exposure,explicit non-assumption,"Material concentration or extractable PFAS is not equivalent to beverage migration or human dose","Only Timshina included a limited water-leaching experiment; other studies differ","S13; S14; S15","Migration tests under representative beverage chemistry, temperature, contact time, and straw surface area",required
A15,PFAS as secondary argument,project rule,"Core geometry conclusions must remain unchanged when PFAS discussion is removed","Material-efficiency claim should not depend on a contaminant narrative","Project requirement","Run manuscript logic check with PFAS section deleted",required
A16,Container-redesign burden,scenario requirement,"Any shortening that changes hole, membrane, applicator, container wall, or packing must include those burdens","Joint optimization can shift impacts from accessory to container/manufacturing","S01; S06; S07","Inventory tooling, line changes, reject rate, extra container material, and packaging effects",open
A17,Baseline inefficiency,explicit non-assumption,"Observed straw configurations are reference designs, not proven inefficient baselines","No source establishes that supplied length exceeds the functional minimum","S01; S06; S07","Use optimization/validation to test slack before claiming inefficiency",required
A18,Packaging unchanged under shortening,hypothetical scenario,"A fixed-wrapper scenario may be shown only as a conservative accounting case","Wrapper and applicator geometry might not shrink with the straw","S01; S06","Pair with redesigned-wrapper and zero-logistics-benefit scenarios",conditional
